route,voyage_idx,sh_base,eta_h,L_nm,oracle_sr,oracle_luo,naive_mt,rh_sr_mt,rh_luo_mt,rh_sr_vs_naive_pct,rh_luo_vs_naive_pct,rh_sr_vs_oracle_mt,rh_luo_vs_oracle_mt,sr_gates_ok,luo_gates_ok,arrival_h,rh_runtime_min
route2,0,0,168,1954.7,203.357,210.48,212.609,205.001,212.115,-3.57831,-0.232172,1.64373,1.6349,True,True,168,nan
route2,1,168,168,1954.7,204.241,209.522,212.775,208.34,211.409,-2.08434,-0.64187,4.09866,1.88686,True,True,168,nan
route2,2,336,168,1954.7,197.054,202.78,203.647,200.985,203.417,-1.30689,-0.113107,3.93143,0.636528,True,True,168,nan
route2,3,504,168,1954.7,206.332,212.688,214.538,212.606,216.006,-0.90029,0.684239,6.27439,3.31781,True,False,168,nan
route2,4,672,168,1954.7,216.284,223.583,225.978,222.38,224.904,-1.59205,-0.475185,6.0961,1.32097,True,True,168,nan
route2,5,840,168,1954.7,190.727,197.298,200.496,192.982,199.037,-3.74776,-0.727376,2.25471,1.73946,True,True,168,nan
route2,6,1008,168,1954.7,227.914,233.823,237.087,230.532,235.327,-2.76482,-0.742518,2.61845,1.50408,True,True,168,nan
route2,7,1176,168,1954.7,194.455,198.313,200.425,197.329,200.708,-1.54456,0.140887,2.87448,2.39455,True,False,168,nan
route2,8,1344,168,1954.7,195.826,198.527,199.348,200.816,200.486,0.736285,0.57082,4.99013,1.95927,False,False,168,nan
route2,9,1512,168,1954.7,193.111,197.174,198.987,195.577,198.28,-1.71329,-0.355036,2.46631,1.10605,True,True,168,nan
route2,10,1680,168,1954.7,199.508,204.092,206.864,201.651,205.7,-2.52001,-0.562456,2.14298,1.60845,True,True,168,2.5
route2,11,1848,168,1954.7,198.927,204.792,206.103,201.912,206.271,-2.03335,0.0813776,2.98548,1.47899,True,False,168,2.5
